Name,Type,Definition,Formula,Teaching_Note,Source
相关矩阵,Math,由各变量间相关系数构成的矩阵，对角线元素为1，非对角线元素表示变量间的线性相关程度。当数据已规范化时，相关矩阵即协方差矩阵。,$R = [r_{ij}]_{m \times m} = \frac{1}{n-1} X X^\mathrm{T}$,样本主成分分析中，常先计算规范化数据的相关矩阵，再对其进行特征分解。,CH16-相关矩阵的特征值分解算法
潜在语义分析,Algorithm,一种无监督学习方法，主要用于文本的话题分析，通过矩阵分解发现文本与单词之间基于话题的语义关系，将单词向量空间中的文本表示转换为话题向量空间中的低维表示。,$X \approx TY$,潜在语义分析使用非概率话题分析模型，包括基于截断奇异值分解和基于非负矩阵分解两种算法。,CH17-潜在语义分析
单词向量空间,Concept,由文本集合中所有单词张成的向量空间，每个文本表示为一个m维向量，各维对应单词的权重，通常为TF-IDF值。,无,单词向量空间不考虑同义性和多义性，向量稀疏。,CH17-单词向量空间
话题向量空间,Concept,由k个话题向量张成的k维向量空间，每个话题向量是定义在单词集合上的m维向量，表示话题的语义内容。,无,话题向量空间的维数k通常远小于单词数m，文本可投影到此空间实现降维。,CH17-话题向量空间
单词-文本矩阵,Math,一个m×n矩阵，元素x_{ij}表示单词w_i在文本d_j中出现的频数或TF-IDF权值，每一列对应一个文本在单词向量空间中的表示。,$X=[x_{ij}]_{m\times n}$,通常为稀疏矩阵，m为单词数，n为文本数。,CH17-单词向量空间
单词-话题矩阵,Math,一个m×k矩阵，列向量为话题向量，表示各个话题在单词空间上的分布。,$T=[t_{il}]_{m\times k}$,在基于截断SVD的LSA中，$T=U_k$。,CH17-话题向量空间
话题-文本矩阵,Math,一个k×n矩阵，列向量是各文本在话题向量空间中的坐标表示，即话题空间中的文本向量。,$Y=[y_{lj}]_{k\times n}$,在基于截断SVD的LSA中，$Y=\Sigma_k V_k^\mathrm{T}$。,CH17-话题向量空间
非负矩阵分解,Algorithm,一种矩阵分解方法，将非负矩阵X近似分解为两个非负矩阵W和H的乘积$X\approx WH$，其中W的列向量可视为基向量，H的列向量为系数向量，分解结果具有局部构成整体的直观解释。,"$X \approx WH, \quad W \geq 0, \ H \geq 0$",NMF在潜在语义分析中用于获得非负的话题向量和文本表示。,CH17-非负矩阵分解
TF-IDF,Math,一种衡量单词对文档重要程度的加权技术，由词频(TF)和逆文档频率(IDF)的乘积组成，能过滤常见词并保留重要词。,$\text{TFIDF}_{ij} = \frac{\text{tf}_{ij}}{\text{tf}_{\cdot j}} \log \frac{\text{df}}{\text{df}_i}$,广泛用于信息检索和文本挖掘，是单词-文本矩阵常用的权重。,CH17-单词向量空间
话题,Concept,隐藏在文本集合中的潜在语义结构或主题，由一组语义相关的单词表示，是潜在语义分析发现的核心内容。,无,一个文本通常包含多个话题，话题数量k远小于单词数量m。,CH17-话题向量空间
散度损失,Math,非负矩阵分解中的一种损失函数，基于KL散度度量两个非负矩阵的差异，当矩阵为概率分布时退化为相对熵。,"$D(A\|B) = \sum_{i,j}\left(a_{ij}\log\frac{a_{ij}}{b_{ij}} - a_{ij} + b_{ij}\right)$",下界为0，非对称，常用于NMF的优化。,CH17-非负矩阵分解算法
感知机,Model,感知机是二类分类的线性分类模型，属于判别模型。输入为实例的特征向量，输出为实例的类别（+1和-1）。感知机对应于输入空间中将实例划分为正负两类的分离超平面。,$f(x)=\text{sign}(w \cdot x + b)$,感知机是神经网络和支持向量机的基础，激活函数为符号函数。,CH02-感知机模型
线性可分数据集,Concept,给定一个数据集，如果存在某个超平面能够将数据集的正实例点和负实例点完全正确地划分到超平面的两侧，则称该数据集为线性可分数据集。,无,感知机学习的前提是训练数据集线性可分，否则算法不收敛。,CH02-数据集的线性可分性
感知机损失函数,Math,感知机学习采用的损失函数，定义为所有误分类点到超平面的函数间隔之和的相反数，忽略1/||w||。,"$L(w,b)=-\sum_{x_i\in M}y_i(w\cdot x_i+b)$，其中$M$为误分类点集合","等价于合页损失的一种形式$\max(0, -y_i(w\cdot x_i+b))$。损失函数是参数w,b的连续可导函数，易于优化。",CH02-感知机学习策略
感知机学习算法原始形式,Algorithm,通过随机梯度下降法极小化感知机损失函数，每次选取一个误分类点更新权重向量w和偏置b，直至训练集中无误分类点。,$w \leftarrow w + \eta y_i x_i$；$b \leftarrow b + \eta y_i$,可合并偏置为扩充权重向量，初值与误分类点选取顺序不同会导致解不同。,CH02-感知机学习算法的原始形式
感知机学习算法对偶形式,Algorithm,将w和b表示为实例x_i和标记y_i的线性组合，学习组合系数α，利用Gram矩阵计算内积，通过更新α和b求解感知机。,$f(x)=\text{sign}\left(\sum_{j=1}^N\alpha_j y_j x_j\cdot x + b\right)$；更新：$\alpha_i \leftarrow \alpha_i + \eta$；$b \leftarrow b + \eta y_i$,α_i表示第i个实例被误分类的次数乘以学习率。,CH02-感知机学习算法的对偶形式
Gram矩阵,Math,训练集中所有实例两两内积构成的矩阵，用于感知机对偶形式的快速计算。,$G=[x_i\cdot x_j]_{N\times N}$,无,CH02-Gram matrix
分离超平面,Concept,在特征空间中将正负实例分开的超平面，由法向量w和截距b决定，对应于感知机的决策边界。,$w\cdot x + b = 0$,法向量指向的一侧为正类，另一侧为负类。,CH02-感知机模型
函数间隔,Math,"样本点(x_i,y_i)到超平面(w,b)的函数间隔定义为$y_i(w\cdot x_i+b)$，表示分类的正确性和确信度。",$\hat\gamma_i = y_i(w\cdot x_i+b)$,感知机损失函数中的$-y_i(w\cdot x_i+b)$即负的函数间隔。,CH02-感知机学习策略
几何间隔,Math,样本点到超平面的归一化距离，即函数间隔除以$||w||$。,$\gamma_i = \frac{y_i(w\cdot x_i+b)}{||w||}$,几何间隔不会因w和b的等比例缩放而改变，是点到超平面的真实距离。,CH02-损失函数选择
学习率,Concept,梯度下降等优化算法中控制参数更新步长的超参数。,$\eta$,感知机算法中$0<\eta\leq 1$，例子中常取1以简化。,CH02-感知机学习算法
Novikoff定理,Concept,关于感知机算法收敛性的定理：对于线性可分数据集，感知机学习算法原始形式经过有限次迭代后收敛，得到一个完全正确划分训练集的分离超平面。,无,定理给出了误分类次数的上界。,CH02-算法的收敛性
k近邻法,Algorithm,一种基本分类与回归方法。对于新输入实例，在训练数据集中找到与该实例最邻近的k个实例，基于这k个实例的类别通过多数表决等决策规则决定新实例的类别。,$y=\arg\max_{c_j}\sum_{x_i\in N_k(x)}I(y_i=c_j)$,kNN的k和KDTree的k含义不同。多数表决规则等价于0-1损失下的经验风险最小化，支持多分类。,CH03-k近邻算法
距离度量,Concept,特征空间中两个实例点相似程度的反映，距离越近数值越小，相似度越大。常用L_p距离。,"$L_p(x_i, x_j)=\left(\sum_{l=1}^{n}{\left|x_{i}^{(l)}-x_{j}^{(l)}\right|^p}\right)^{\frac{1}{p}}$",p=1为曼哈顿距离，p=2为欧氏距离，任意p对应闵可夫斯基距离。,CH03-距离度量
欧氏距离,Math,L_2距离，p=2时的闵可夫斯基距离。,"$L_2(x_i, x_j)=\left(\sum_{l=1}^{n}{\left|x_{i}^{(l)}-x_{j}^{(l)}\right|^2}\right)^{\frac{1}{2}}$",无,CH03-距离度量
曼哈顿距离,Math,L_1距离，p=1时的闵可夫斯基距离，即各坐标差绝对值之和。,"$L_1(x_i, x_j)=\sum_{l=1}^{n}{\left|x_{i}^{(l)}-x_{j}^{(l)}\right|}$",无,CH03-距离度量
闵可夫斯基距离,Math,一组范数定义的距离，是欧氏距离和曼哈顿距离的推广。,"$L_p(x_i, x_j)=\left(\sum_{l=1}^{n}{\left|x_{i}^{(l)}-x_{j}^{(l)}\right|^p}\right)^{\frac{1}{p}}$",p≥1，p=2是欧氏距离，p=1是曼哈顿距离。,CH03-距离度量
k值选择,Strategy,k近邻算法中选取近邻个数k的策略，k值大小影响模型偏差与方差，通常通过交叉验证选取最优k。,无,k值减小模型变复杂，容易过拟合；k值增大模型变简单，近似误差增大。二分类中k选奇数有助于避免平票。,CH03-k值选择
多数表决规则,Strategy,k近邻法中的分类决策规则，由输入实例的k个近邻中多数类决定类别，等价于0-1损失下的经验风险最小化。,$y=\arg\max_{c_j}\sum_{x_i\in N_k(x)}I(y_i=c_j)$,误分类率等于$1-\frac{1}{k}\sum I(y_i=c_i)$。,CH03-分类决策规则
KD树,Model,一种对k维空间中的实例点进行存储以便快速检索的树形数据结构，是二叉树，可用于实现k近邻法的高效搜索。,无,KDTree是平衡二叉树，构造是递归过程。随机分布下平均最近邻搜索复杂度为O(log N)，但维数接近样本数时效率接近O(N)。,CH03-构造KDTree
k近邻法,Algorithm,一种基本分类与回归方法。对新实例，在训练集中找到k个最近邻，通过多数表决等规则确定输出。,$y=\arg\max_{c_j}\sum_{x_i\in N_k(x)}I(y_i=c_j)$,三要素：距离度量、k值选择、分类决策规则。注意与统计学习三要素区别。,CH03-k近邻模型
朴素贝叶斯法,Algorithm,朴素贝叶斯法是基于贝叶斯定理与特征条件独立假设的分类方法。首先学习输入输出的联合概率分布，然后基于此模型，对给定的输入，利用贝叶斯定理求出后验概率最大的输出。,$y = \arg\max_{c_k} P(Y=c_k) \prod_{j=1}^n P(X^{(j)}=x^{(j)}|Y=c_k)$,朴素贝叶斯法是典型的生成模型。条件独立假设使参数数量从指数级降为线性级。,CH04-朴素贝叶斯法的学习与分类
贝叶斯定理,Math,描述两个条件概率之间关系的定理，提供了计算后验概率的方法。,$P(Y|X) = \frac{P(X|Y)P(Y)}{P(X)}$,无,CH04-朴素贝叶斯法
条件独立假设,Concept,朴素贝叶斯法对条件概率分布所作的一个简化假设：用于分类的特征在类确定的条件下都是条件独立的。,$P(X=x|Y=c_k) = \prod_{j=1}^n P(X^{(j)}=x^{(j)}|Y=c_k)$,该假设使模型易于估计，但牺牲了特征间的依赖信息。,CH04-条件独立假设
后验概率最大化,Strategy,朴素贝叶斯法采用的分类决策规则：将实例分到后验概率最大的类中，这等价于在0-1损失函数下的期望风险最小化。,$y = \arg\max_{c_k} P(Y=c_k|X=x)$,后验概率最大化保证了0-1损失下的期望风险最小。,CH04-后验概率最大化的含义
期望风险最小化,Strategy,模型选择的一个准则：选择使期望风险（模型关于真实联合分布的平均损失）最小的模型。,无,朴素贝叶斯法的后验概率最大化在0-1损失下等价于期望风险最小化。,CH04-后验概率最大化的含义
贝叶斯估计,Algorithm,朴素贝叶斯法中一种参数估计方法，在极大似然估计基础上增加平滑项$\lambda$，以避免因训练样本不足导致的概率为零问题。,"$P_{\lambda}(X^{(j)}=a_{jl}|Y=c_k)=\frac{\sum_{i=1}^N I(x_i^{(j)}=a_{jl},y_i=c_k)+\lambda}{\sum_{i=1}^N I(y_i=c_k)+S_j\lambda}$",当$\lambda=0$时为极大似然估计；当$\lambda=1$时为拉普拉斯平滑。,CH04-贝叶斯估计
拉普拉斯平滑,Math,一种特殊的贝叶斯估计，取$\lambda=1$，对每个可能取值计数都加1，避免后验概率为零。,"$P_1(X^{(j)}=a_{jl}|Y=c_k)=\frac{\sum_{i} I(x_i^{(j)}=a_{jl},y_i=c_k)+1}{\sum_{i} I(y_i=c_k)+S_j}$",拉普拉斯平滑相当于为未出现的特征值赋予了先验概率。,CH04-贝叶斯估计
先验概率,Math,在没有任何额外信息时，对类别$Y$的概率估计，即$P(Y=c_k)$。,$P(Y=c_k)$,通过训练数据中各类别的频率估计得到。,CH04-极大似然估计
树增强朴素贝叶斯,Model,朴素贝叶斯的一种扩展模型，放松了特征条件独立假设，允许特征之间存在树形依赖关系。,无,TAN是朴素贝叶斯到贝叶斯网的过渡。,CH04-扩展
贝叶斯网,Model,利用有向无环图表示变量之间概率依赖关系的图模型，是更一般的概率图模型。,无,朴素贝叶斯是贝叶斯网的一个特例。,CH04-扩展
决策树,Model,一种基本的分类与回归方法，呈树形结构，表示基于特征对实例进行分类或回归的过程。可视为if-then规则的集合，也可视为定义在特征空间与类空间上的条件概率分布。,无,ID3和C4.5只能分类，CART可分类和回归。,CH05-决策树模型与学习
熵,Math,度量随机变量不确定性的指标，只依赖于概率分布。,$H(X)=-\sum_{i=1}^{n}p_i\log p_i$,定义0log0=0，熵非负。,CH05-熵
条件熵,Math,在已知随机变量X的条件下，随机变量Y的不确定性。,$H(Y|X)=\sum_{i=1}^n p_i H(Y|X=x_i)$,无,CH05-条件熵
经验熵,Math,由训练数据估计得到的熵，使用极大似然估计计算类别概率。,$H(D)=-\sum_{k=1}^K\frac{|C_k|}{|D|}\log_2\frac{|C_k|}{|D|}$,经验熵是熵在训练数据集上的估计。,CH05-经验熵
经验条件熵,Math,由训练数据估计得到的条件熵，给定特征A时数据集D的不确定性。,$H(D|A)=\sum_{i=1}^n\frac{|D_i|}{|D|}H(D_i)=-\sum_{i=1}^n\frac{|D_i|}{|D|}\sum_{k=1}^K\frac{|D_{ik}|}{|D_i|}\log_2\frac{|D_{ik}|}{|D_i|}$,无,CH05-经验条件熵
信息增益,Math,特征A对训练数据集D的信息增益，等于集合D的经验熵与给定特征A下D的经验条件熵之差，表示得知特征A的信息而使得类Y的信息不确定性减少的程度。,"$g(D,A)=H(D)-H(D|A)$",等价于训练数据集中类与特征的互信息，偏好取值较多的特征。,CH05-信息增益
信息增益比,Math,信息增益与训练数据集D关于特征A的值的熵之比，用于校正信息增益偏向取值较多特征的问题。,"$g_R(D,A)=\frac{g(D,A)}{H_A(D)},\ H_A(D)=-\sum_{i=1}^n\frac{|D_i|}{|D|}\log_2\frac{|D_i|}{|D|}$",无,CH05-信息增益比
基尼系数,Math,度量集合不确定性的指标，也源于经济学，在CART分类树中用于特征选择，值越小集合纯度越高。,$\text{Gini}(p)=\sum_{k=1}^K p_k(1-p_k)=1-\sum_{k=1}^K p_k^2$,基尼系数和熵作用类似，均可衡量纯度。,CH05-CART分类树生成
特征选择,Task,从给定特征集合中选择对当前学习任务最有用的特征的过程，在决策树中用于确定每个节点的划分属性。,无,常用准则：信息增益、信息增益比、基尼系数。,CH05-特征选择
ID3算法,Algorithm,利用信息增益准则选择特征，递归构建决策树的分类算法。,无,只能处理分类问题，不能处理连续值和缺失值。,CH05-ID3算法
C4.5算法,Algorithm,利用信息增益比准则选择特征，递归构建决策树的分类算法，是ID3算法的改进。,无,与ID3的差异仅在于使用信息增益比而非信息增益。,CH05-C4.5生成
CART算法,Algorithm,分类与回归树算法，可解决分类和回归问题。分类树使用基尼系数选择特征，回归树使用平方误差最小化选择特征，生成二叉树，并采用代价复杂性剪枝。,回归树模型：$f(x)=\sum_{m=1}^M\hat{c}_m I(x\in R_m)$,CART输出二叉树，是最早的决策树算法之一。,CH05-CART算法
决策树剪枝,Strategy,通过极小化决策树整体损失函数，将已生成的树进行简化的过程，裁剪掉一些子树或叶结点，使父结点作为新的叶结点，以降低模型复杂度并防止过拟合。,无,剪枝可以降低模型复杂度，提升泛化性能。,CH05-树的剪枝
决策树损失函数,Math,决策树学习的整体损失函数，由模型对训练数据的预测误差和模型复杂度加权求和构成，用于剪枝。,$C_\alpha(T)=\sum_{t=1}^{|T|}N_t H_t(T)+\alpha|T|=C(T)+\alpha|T|$,其中$C(T)$为经验风险，$\alpha|T|$为正则化项。该损失函数是结构风险最小化的一种形式。,CH05-树的剪枝
互信息,Math,两个随机变量相互依赖性的度量，等于一个变量的熵与给定另一变量下的条件熵之差。,$I(X;Y)=H(Y)-H(Y|X)$,决策树中的信息增益等价于训练数据集上类与特征的互信息。,CH05-信息增益
逻辑斯谛回归模型,Model,一种分类模型，由条件概率分布P(Y|X)表示，形式为参数化的逻辑斯谛分布。直接对分类可能性建模，无需事先假设数据分布。,$P(Y=1|x)=\frac{\exp(w\cdot x)}{1+\exp(w\cdot x)}$，$P(Y=0|x)=\frac{1}{1+\exp(w\cdot x)}$,也称为对数几率回归。输出Y=1的对数几率是输入的线性函数。与最大熵模型等价。,CH06-逻辑斯谛回归模型
逻辑斯谛分布,Math,一种连续概率分布，其累积分布函数为逻辑斯谛函数，具有位置参数μ和形状参数γ。,$F(x)=P(X\leqslant x)=\frac{1}{1+\exp(-(x-\mu)/\gamma)}$,"常用形式为$\sigma(z)=\frac{1}{1+\exp(-z)}$，将实数域映射到(0,1)区间。",CH06-逻辑斯谛分布
多项逻辑斯谛回归,Model,二项逻辑斯谛回归模型在多分类问题上的推广，使用softmax函数计算各类别的条件概率。,$P(Y=k|x)=\frac{\exp(w_k\cdot x)}{1+\sum_{j=1}^{K-1}\exp(w_j\cdot x)}$，或 $P(Y=k|x)=\frac{\exp(w_k\cdot x)}{\sum_{j=1}^{K}\exp(w_j\cdot x)}$,又称Softmax Regression。,CH06-多项逻辑斯谛回归
对数几率,Math,事件发生的概率与不发生的概率之比的对数，即logit函数。,$\text{logit}(p)=\log\frac{p}{1-p}$,在逻辑斯谛回归中，对数几率是输入的线性函数。,CH06-二项逻辑斯谛回归模型
最大熵模型,Model,在满足所有已知约束条件下，使得条件熵最大的概率模型。认为在已知事实之外，应该保持等概率。,"$P_w(y|x)=\frac{1}{Z_w(x)}\exp\left(\sum_{i=1}^{n}w_i f_i(x,y)\right)$，$Z_w(x)=\sum_y\exp\left(\sum_{i=1}^{n}w_i f_i(x,y)\right)$",最大熵模型与逻辑斯谛回归模型是等价的。学习过程可用IIS、拟牛顿法等。,CH06-最大熵模型
最大熵原理,Strategy,概率模型学习的一个准则：在满足约束条件的模型集合中选取熵最大的模型，承认已知事实，对未知无偏。,$p^*=\arg\max\limits_{p\in\mathcal C} H(p)$,等概率表示对事实的无知，最大熵原理保证不确定性最大的分布。,CH06-最大熵原理
特征函数,Math,用于描述输入x和输出y之间某一事实的实值函数，通常是二值指示函数。,"$f(x,y)=\begin{cases}1 & x\text{与}y\text{满足某一事实}\\0 & \text{否则}\end{cases}$",最大熵模型中的特征是关于x和y的函数，区别于一般特征仅关于x。,CH06-特征与约束条件
约束条件,Concept,最大熵模型中，特征函数关于经验分布的期望与关于模型与经验分布的期望相等的方程，即模型必须满足的事实。,$E_P(f_i)=E_{\widetilde P}(f_i)$,约束条件使得模型从训练数据中捕捉统计信息。,CH06-特征与约束条件
条件熵,Math,在已知随机变量X的条件下随机变量Y的不确定性，最大熵模型的目标函数就是最大化条件熵。,"$H(P)=-\sum\limits_{x,y}\widetilde P(x)P(y|x)\log P(y|x)$",最大熵模型是在满足约束下最大化条件熵。,CH06-最大熵模型定义
改进的迭代尺度法,Algorithm,一种最大熵模型学习的优化算法，通过迭代更新参数，使得模型期望逐步逼近经验期望。,$w_i \leftarrow w_i + \delta_i$,IIS是最大熵模型学习的经典算法，每步需求解增量δ_i。,CH06-改进的迭代尺度法
逻辑斯谛损失函数,Math,逻辑斯谛回归使用的损失函数，即负的对数似然损失。,$L(w)=-\sum_{i=1}^N[y_i\log\pi(x_i)+(1-y_i)\log(1-\pi(x_i))]$,逻辑斯谛回归的参数估计采用极大似然法，等价于极小化此损失。,CH06-模型参数估计
相对熵,Math,也称KL散度，度量两个概率分布之间差异的非对称性度量。,$KL(P||Q)=\sum_i P(i)\log\frac{P(i)}{Q(i)}$,KL散度非负，且不满足对称性，不是真正的距离。,CH06-概念-相对熵
交叉熵,Math,衡量两个概率分布差异的一种方式，等于真实分布的熵与KL散度之和。,"$CH(p,q)=-\sum_i p(x_i)\log q(x_i)=H(p)+KL(p||q)$",在分类任务中常作为损失函数。,CH06-概念-交叉熵
支持向量机,Model,一种二类分类模型，基本模型是定义在特征空间上的间隔最大的线性分类器；通过核技巧，可成为实质上的非线性分类器。学习策略是间隔最大化，可形式化为凸二次规划问题，也等价于合页损失函数最小化加正则化。,"决策函数：$f(x)=\text{sign}(w^*\cdot x+b^*)$ 或 $f(x)=\text{sign}(\sum_{i=1}^{N}\alpha_i^* y_i K(x,x_i)+b^*)$",SVM是判别模型，由支持向量唯一决定分离超平面。数据集较少时SVM效果可能较好。,CH07-支持向量机
线性可分支持向量机,Model,当训练数据线性可分时，利用硬间隔最大化学习得到的线性分类器，对应一个将两类数据正确分开且间隔最大的分离超平面。,分离超平面：$w^*\cdot x+b^*=0$；决策函数：$f(x)=\text{sign}(w^*\cdot x+b^*)$,要求所有样本点满足函数间隔≥1，支持向量严格满足等式。,CH07-线性可分支持向量机
线性支持向量机,Model,对于近似线性可分的数据，通过软间隔最大化学习的线性分类器，引入松弛变量允许少量误分类，并由惩罚参数C控制间隔与误分类的平衡。,"原始问题：$\min_{w,b,\xi}\frac{1}{2}\|w\|^2+C\sum_{i=1}^N\xi_i$ 约束 $y_i(w\cdot x_i+b)\ge 1-\xi_i, \xi_i\ge 0$",线性支持向量机包含线性可分支持向量机（当C→∞时）。$w^*$唯一但$b^*$不一定唯一。,CH07-线性支持向量机
非线性支持向量机,Model,利用核函数将输入空间映射到高维特征空间，在特征空间中应用线性支持向量机学习，从而得到原空间中的非线性分类模型。,"决策函数：$f(x)=\text{sign}\left(\sum_{i=1}^{N_s}\alpha_i^* y_i K(x_i,x)+b^*\right)$",通过核技巧隐式地进行特征映射，无需显式定义映射函数。,CH07-非线性支持向量机
支持向量,Concept,在支持向量机对偶问题中，对应于$\alpha_i>0$的训练样本点，它们决定了分离超平面的位置和方向。,支持向量满足：$y_i(w\cdot x_i+b)=1$ 或 $0<\alpha_i<C$,SVM的名称正是源于这些关键样本点——支持向量。,CH07-支持向量和间隔边界
硬间隔最大化,Strategy,线性可分支持向量机的学习策略，在保证所有样本正确分类且函数间隔不小于1的前提下，最大化几何间隔（即最小化$\|w\|$）。,"$\min_{w,b}\frac{1}{2}\|w\|^2$ 约束 $y_i(w\cdot x_i+b)-1\ge 0$",形式上是一个凸二次规划问题。,CH07-间隔最大化
软间隔最大化,Strategy,线性支持向量机的学习策略，引入松弛变量允许某些样本不满足函数间隔≥1的约束，并通过惩罚项C∑ξ_i限制违规程度，在间隔大小与误分类之间折衷。,"$\min_{w,b,\xi}\frac{1}{2}\|w\|^2+C\sum_{i=1}^N\xi_i$ 约束 $y_i(w\cdot x_i+b)\ge 1-\xi_i, \xi_i\ge 0$",软间隔最大化等价于合页损失加L2正则化的经验风险最小化。,CH07-软间隔最大化
合页损失函数,Math,"一种损失函数，形如$L(y,f(x))=[1-y f(x)]_+$，当函数间隔大于1时损失为0，否则线性惩罚，要求预测具有足够高的确信度。","$L(y(w\cdot x+b))=\max(0, 1-y(w\cdot x+b))$",合页损失是0-1损失的上界，比感知机损失要求更严格（正确且确信度足够高才无损失）。,CH07-合页损失
核函数,Math,"定义在输入空间上的对称函数$K(x,z)$，能够表示为特征空间中映射的内积，即$K(x,z)=\phi(x)\cdot\phi(z)$，从而实现隐式的非线性映射。","$K(x,z)=\phi(x)\cdot\phi(z)$，常用如多项式核$K(x,z)=(x\cdot z+1)^p$，高斯核$K(x,z)=\exp(-\|x-z\|^2/2\sigma^2)$",使用核函数可避免显式计算高维映射，在SVM中实现非线性分类。,CH07-核函数
序列最小最优化算法,Algorithm,一种快速求解支持向量机对偶问题（凸二次规划）的算法，每次只选择两个变量进行优化，将大规模问题分解为一系列小规模子问题，并采用启发式方法选择变量。,无,SMO算法包括两部分：两变量解析求解和启发式变量选择。KKT条件用作停机准则。,CH07-序列最小最优化算法
KKT条件,Math,Karush-Kuhn-Tucker条件，是凸优化问题全局最优解的充分必要条件，包括梯度条件、互补松弛条件和原始/对偶可行性等。,无,在SMO中，KKT条件用于判断当前解是否最优，并作为算法终止准则。,CH07-KKT条件
提升方法,Strategy,一种常用的统计学习方法，通过改变训练数据的权值分布，学习一系列弱分类器，并将它们线性组合成一个强分类器，以提升分类性能。,无,Boosting不容易过拟合。基本思想源于PAC学习框架中强可学习与弱可学习的等价性。,CH08-提升方法的基本思路
AdaBoost算法,Algorithm,一种典型的提升算法，通过改变训练数据权值分布，使得每一轮迭代关注上一轮误分类的样本；将弱分类器加权组合成最终强分类器，系数由各分类器误差率决定。,"最终分类器：$G(x)=\text{sign}\left(\sum_{m=1}^M\alpha_m G_m(x)\right)$；系数：$\alpha_m=\frac{1}{2}\log\frac{1-e_m}{e_m}$；权值更新：$w_{m+1,i}=\frac{w_{mi}}{Z_m}\exp(-\alpha_m y_i G_m(x_i))$",AdaBoost不需要知道弱学习器的误差下界，这是其与早期Boosting算法的区别。误差率$e_m$使用权值分布加权计算。,CH08-AdaBoost算法
前向分步算法,Algorithm,一种求解加法模型的优化算法，每一步从前向后，只学习一个基函数及其系数，逐步逼近最优解，固定已学模型，仅优化当前基函数参数和系数。,"$(\beta_m,\gamma_m)=\arg\min_{\beta,\gamma}\sum_{i=1}^N L(y_i, f_{m-1}(x_i)+\beta b(x_i;\gamma))$；更新$f_m(x)=f_{m-1}(x)+\beta_m b(x;\gamma_m)$",AdaBoost可以看作前向分步算法在加法模型且损失为指数损失时的特例。,CH08-前向分步算法
加法模型,Model,形如$f(x)=\sum_{m=1}^M\beta_m b(x;\gamma_m)$的模型，其中$b(x;\gamma_m)$为基函数，$\beta_m$为基函数系数，$\gamma_m$为基函数参数。,$f(x)=\sum_{m=1}^M\beta_m b(x;\gamma_m)$,提升方法采用加法模型，基函数可以是各种分类器或回归树。,CH08-加法模型
指数损失函数,Math,"形如$L(y,f(x))=\exp(-y f(x))$的损失函数，是0-1损失的上界，AdaBoost以指数损失为目标函数。","$L(y,f(x))=\exp(-y f(x))$",指数损失与逻辑斯谛损失不同，对误分类样本惩罚更重。,CH08-AdaBoost算法的解释
提升树,Model,以决策树为基函数的提升方法，通过加法模型组合多棵决策树，可用于分类和回归。,$f_M(x)=\sum_{m=1}^M T(x;\Theta_m)$,回归提升树采用平方损失拟合残差；分类提升树采用指数损失；一般损失时可用梯度提升。,CH08-提升树
梯度提升,Algorithm,一种提升树的学习方法，用损失函数的负梯度在当前模型的值近似回归问题中的残差，从而可扩展到任意可微损失函数。,"负梯度：$r_{mi}=-\left[\frac{\partial L(y_i, f(x_i))}{\partial f(x_i)}\right]_{f(x)=f_{m-1}(x)}$；更新：$f_m(x)=f_{m-1}(x)+\sum_{j}c_{mj}I(x\in R_{mj})$",GBDT的核心思想是用负梯度代替残差，以拟合回归树。,CH08-梯度提升
残差,Math,在回归提升树中，当前模型预测值与真实值之差，作为下一棵树拟合的目标。,$r_{mi}=y_i - f_{m-1}(x_i)$,残差拟合的思想使得提升树可以逐步减少训练误差。,CH08-提升树算法
弱学习器,Concept,学习正确率仅比随机猜测略好的学习算法，提升方法组合多个弱学习器构成强学习器。,无,PAC学习框架下，强可学习等价于弱可学习。,CH08-提升方法的基本思路
强学习器,Concept,具有高准确率的学习算法，提升方法的目标是将弱学习器提升为强学习器。,无,无,CH08-提升方法的基本思路
EM算法,Algorithm,一种迭代算法，用于含有隐变量的概率模型参数的极大似然估计或极大后验概率估计。通过迭代地构造期望(Q函数)并极大化，逐步逼近最优参数。,"E步：$Q(\theta,\theta^{(i)})=E_Z[\log P(Y,Z|\theta)|Y,\theta^{(i)}]$；M步：$\theta^{(i+1)}=\arg\max_\theta Q(\theta,\theta^{(i)})$",EM算法是一般方法，不是具体模型。可用于生成模型的非监督学习。,CH09-EM算法的引入
高斯混合模型,Model,一种概率模型，由K个高斯分布分模型加权求和构成，可用于聚类和密度估计。,$P(y|\theta)=\sum_{k=1}^K\alpha_k\phi(y|\theta_k)$，其中$\phi(y|\theta_k)=\frac{1}{\sqrt{2\pi}\sigma_k}\exp\left(-\frac{(y-\mu_k)^2}{2\sigma_k^2}\right)$,GMM的参数估计是EM算法的重要应用。每个分模型对应一个簇。,CH09-高斯混合模型
Q函数,Math,完全数据的对数似然函数关于给定观测数据和当前参数下未观测数据条件概率分布的期望，是EM算法迭代的核心中间函数。,"$Q(\theta,\theta^{(i)})=E_Z[\log P(Y,Z|\theta)|Y,\theta^{(i)}]=\sum_Z P(Z|Y,\theta^{(i)})\log P(Y,Z|\theta)$",Q函数将隐变量用期望代替，使不完全数据的似然最大化问题转化为完全数据的期望最大化问题。,CH09-EM算法的导出
